h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,3.2091,-1.94614514545492,0.857085737471942,2.12651754955269,0.168,2.15281209494576 
0.01,3.2091,-1.94683564711024,0.757496059732887,2.08901156468077,0.193,2.36598769924086 
0.02,3.2091,-2.02370308207886,0.863669012972401,2.20029505484701,0.2495,2.78838044837731 
0.03,3.2091,-1.9761032462259,1.01129708863455,2.21984365242808,0.3485,3.31861260585792 
0.04,3.2091,-2.03360133107741,1.0617417417426,2.29408585277849,0.3915,3.62409634166224 
0.05,3.2091,-2.03437617736964,1.14679426470951,2.33534226969405,0.4455,3.9400655692554 
0.06,3.2091,-2.00033028997018,1.15722870290716,2.31095208513815,0.467,4.13893957831905 
0.07,3.2091,-2.0762504923673,1.20490107585628,2.40054216993893,0.4685,4.26872991786411 
0.08,3.2091,-2.10109470335824,1.19189618989916,2.41561906764626,0.4905,4.35790489289499 
0.09,3.2091,-2.02492894185804,1.21676489274545,2.36238312383749,0.5245,4.44922887110749 
0.10,3.2091,-2.09243749684896,1.23392964873702,2.42917209276161,0.5095,4.5054909599819 
